assessment_id,title,url,description,category,test_type,level,duration_min,language,tags
products,Products,https://www.shl.com/products/,SHL products have been carefully designed to produce highly reusable data and to enhance all stages of the talent experience that drive performance and retention.,Home,P,Graduate,,English,
products-assessments-personality-assessment-shl-occupational-personality-questionnaire-opq,Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,"Our occupational personality questionnaire helps you to get accurate, bias-free assessments by matching individual working preferences to business requirements.",Home > Products > Assessments > Personality Assessment,P,Graduate,20.0,English,
products-assessments-job-focused-assessments,Skills Assessments that Predict On-the-job Success,https://www.shl.com/products/assessments/job-focused-assessments/,Measure the skills needed to succeed in any role with pre-packaged skills assessments. Fast and accurate measurement of job-relevant skills.,Home > Products > Assessments,P,Entry,,English,
products-assessments-personality-assessment-shl-motivation-questionnaire-mq,SHL Motivational Questionnaire,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,"Build an engaged, high-performing workforce using our motivation questionnaire (MQ) by matching individual employee motivation to team and organizational goals.",Home > Products > Assessments > Personality Assessment,P,Graduate,20.0,English,
products-assessments-behavioral-assessments-situation-judgement-tests-sjt,Situational Judgement Tests,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,"Using our Situational Judgment Tests (SJT), you can measure candidates' behavioral fit to a given role by assessing their response to a specific work situation.",Home > Products > Assessments > Behavioral Assessments,P,Graduate,,English,
products-assessments-cognitive-assessments,SHL Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,"Measure candidates' potential and ability to learn, adapt, and succeed in any role with SHL's cognitive ability tests and assessments.",Home > Products > Assessments,P,Graduate,,English,
products-360,Measure Past Performance and Future Potential,https://www.shl.com/products/360/,"Make strategic employee decisions with confidence and identify development gaps by gathering on-demand, 360-degree feedback from multiple stakeholders.",Home > Products,P,Graduate,4.0,English,
products-assessments,Assessments,https://www.shl.com/products/assessments/,Our unmatched portfolio of talent assessment tools helps you to clearly map employees and their skills to specific business needs and outcomes.,Home > Products,P,Graduate,,English,
products-assessments-behavioral-assessments,Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/,SHL's behavioral assessments offer an engaging experience to candidates and help you to identify their behavioral fit to the roles.,Home > Products > Assessments,P,Graduate,,English,
products-assessments-personality-assessment,SHL Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,"Improve your hiring process with science-backed personality assessments that reveal each candidate’s preferences, motivations, and remote-work capability.",Home > Products > Assessments,P,Graduate,,English,
products-video-interviews,The Smarter Way to Interview Talent,https://www.shl.com/products/video-interviews/,Screen thousands of candidates quickly with our video interview tool and provide a seamless live video interview experience for shortlisted applicants.,Home > Products,P,Graduate,,English,
products-assessments-skills-and-simulations,Skills & Simulations,https://www.shl.com/products/assessments/skills-and-simulations/,Measure practical application and knowledge to scale your search for highly skilled candidates using SHL's skills assessments tools and job simulations.,Home > Products > Assessments,P,Graduate,,English,
